airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
AA,SMF,883,-60.0,1205.0,11.21,2.15,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SNA,1680,-52.0,1278.0,11.07,1.85,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SRQ,685,-36.0,1435.0,18.08,2.19,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,STL,1765,-48.0,1151.0,13.59,1.25,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,STS,45,-29.0,371.0,33.0,0.0,[ 5  6  7  8  9 10 11]
AA,STT,512,-53.0,1404.0,19.5,1.37,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,STX,195,-38.0,1087.0,27.89,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,SYR,411,-59.0,913.0,9.33,1.22,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,TPA,3224,-44.0,1355.0,15.14,3.01,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,TUL,603,-37.0,1457.0,16.27,1.49,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,TUS,806,-35.0,583.0,9.56,0.99,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,TVC,26,-24.0,120.0,29.38,0.0,[6 7 8]
AA,TYS,359,-50.0,931.0,8.5,3.34,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,VPS,456,-43.0,1432.0,22.82,1.75,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,XNA,324,-27.0,965.0,23.03,1.54,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,ABQ,96,-45.0,266.0,4.54,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,ADK,31,-62.0,103.0,1.15,16.13,[ 1  2  3  4  5  6  7  8  9 11 12]
AS,ADQ,204,-33.0,433.0,1.08,2.94,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,AKN,37,-31.0,59.0,2.24,0.0,[5 6 7 8 9]
AS,ANC,3569,-60.0,428.0,1.15,1.63,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,ATL,342,-61.0,268.0,4.41,1.75,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,AUS,740,-46.0,581.0,10.71,2.16,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,BET,151,-36.0,196.0,17.46,2.65,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,BNA,288,-58.0,188.0,-2.71,2.08,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,BOI,170,-31.0,146.0,0.32,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,BOS,630,-72.0,307.0,6.2,1.27,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,BRW,84,-21.0,217.0,11.66,2.38,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AS,BUR,507,-34.0,490.0,2.94,1.58,[ 1  2  3  4  5  6  7  8  9 10 11 12]
